drug_id,protein_id,Y,predicted_score,true_interaction
DB01624,P35348,1,0.999950647354126,1
DB01136,P35348,1,0.9998866319656372,1
DB13025,P35348,1,0.9998729228973389,1
DB00243,P35348,1,0.9998677968978882,1
DB01238,P35348,1,0.9998518228530884,1
DB04855,P35348,1,0.9998311996459961,1
DB09167,P35348,1,0.9997791647911072,1
DB00334,P35348,1,0.9997515082359314,1
DB04946,P35348,1,0.9997476935386658,1
DB00363,P35348,1,0.9997367262840271,1
DB01622,P35348,1,0.9997362494468689,1
DB01142,P35348,1,0.9996761083602905,1
DB00543,P35348,1,0.9995850920677185,1
DB00715,P35348,1,0.999527096748352,1
DB00321,P35348,1,0.9995200634002686,1
DB00555,P35348,1,0.9995194673538208,1
DB01224,P35348,1,0.9995096921920776,1
DB00490,P35348,1,0.9994970560073853,1
DB00408,P35348,1,0.9994742274284363,1
DB01186,P35348,1,0.9994722008705139,1
DB00875,P35348,1,0.9994263648986816,1
DB00298,P35348,1,0.9994171857833862,1
DB13345,P35348,1,0.9994149208068848,1
DB00696,P35348,1,0.9994107484817505,1
DB09202,P35348,1,0.9994040727615356,1
DB00268,P35348,1,0.9993879795074463,1
DB00697,P35348,1,0.999350368976593,1
DB00540,P35348,1,0.9993403553962708,1
DB00699,P35348,1,0.9992572665214539,1
DB00433,P35348,1,0.9990547299385071,1
DB00248,P35348,1,0.9990437626838684,1
DB00656,P35348,1,0.999014139175415,1
DB11273,P35348,1,0.9989905953407288,1
DB01253,P35348,1,0.9989332556724548,1
DB01472,P35348,1,0.9989049434661865,1
DB09194,P35348,1,0.9988885521888733,1
DB00575,P35348,1,0.9988671541213989,1
DB05492,P35348,1,0.9987708926200867,1
DB00661,P35348,1,0.9987655878067017,1
DB01149,P35348,1,0.9987479448318481,1
DB06153,P35348,1,0.9987114667892456,1
DB00622,P35348,1,0.9987037181854248,1
DB00706,P35348,1,0.9986510872840881,1
DB00668,P35348,1,0.9986147880554199,1
DB00800,P35348,1,0.998563826084137,1
DB00908,P35348,1,0.9985499978065491,1
DB06764,P35348,1,0.9985163807868958,1
DB00346,P35348,1,0.9984569549560547,1
DB01200,P35348,1,0.9983569979667664,1
DB14185,P35348,1,0.9983513355255127,1
DB00734,P35348,1,0.9983043670654297,1
DB06706,P35348,1,0.9982805252075195,1
DB08922,P35348,1,0.9982251524925232,1
DB00934,P35348,1,0.9982244372367859,1
DB00964,P35348,1,0.9982109069824219,1
DB00246,P35348,1,0.9980992674827576,1
DB06144,P35348,1,0.9980478286743164,1
DB09195,P35348,1,0.9979134202003479,1
DB01151,P35348,1,0.9977193474769592,1
DB09229,P35348,1,0.9976497292518616,1
DB01614,P35348,1,0.9975797533988953,1
DB00797,P35348,1,0.9975288510322571,1
DB01403,P35348,1,0.9975134134292603,1
DB00777,P35348,1,0.9974589943885803,1
DB00458,P35348,1,0.9974550604820251,1
DB00831,P35348,1,0.9974138140678406,1
DB01267,P35348,1,0.9971861243247986,1
DB09203,P35348,1,0.9971662163734436,1
DB00751,P35348,1,0.9969005584716797,1
DB01175,P35348,1,0.9968488812446594,1
DB00388,P35348,1,0.9963349103927612,1
DB09286,P35348,1,0.9961408972740173,1
DB00420,P35348,1,0.99608314037323,1
DB00477,P35348,1,0.9956533908843994,1
DB01365,P35348,1,0.9956467747688293,1
DB00726,P35348,1,0.9955014586448669,1
DB06207,P35348,1,0.9954820871353149,1
DB06148,P35348,1,0.995103120803833,1
DB11577,P35348,1,0.995028555393219,1
DB00679,P35348,1,0.9944861531257629,1
DB01295,P35348,1,0.9944849610328674,1
DB00370,P35348,1,0.9941763877868652,1
DB00182,P35348,1,0.9940739274024963,1
DB04948,P35348,1,0.9933017492294312,1
DB09205,P35348,1,0.9928966164588928,1
DB01069,P35348,1,0.9924180507659912,1
DB06711,P35348,1,0.9918034076690674,1
DB00865,P35348,1,0.9897513389587402,1
DB01579,P35348,1,0.9890688061714172,1
DB01576,P35348,1,0.988843560218811,1
DB00723,P35348,1,0.9887606501579285,1
DB00692,P35348,1,0.9884612560272217,1
DB00368,P35348,1,0.9875813722610474,1
DB12278,P35348,1,0.9862111210823059,1
DB00502,P35348,1,0.9853197336196899,1
DB00841,P35348,1,0.9848281741142273,1
DB06229,P35348,1,0.9842924475669861,1
DB00211,P35348,1,0.9839696884155273,1
DB11278,P35348,1,0.980251133441925,1
DB00598,P35348,1,0.9802139401435852,1
DB00457,P35348,1,0.9796864986419678,1
DB06694,P35348,1,0.9741195440292358,1
DB00450,P35348,1,0.972197949886322,1
DB00590,P35348,1,0.9684739708900452,1
DB08950,P35348,1,0.9552086591720581,1
DB01162,P35348,1,0.9513486623764038,1
DB00925,P35348,1,0.9292698502540588,1
DB00935,P35348,1,0.9210786819458008,1
DB06262,P35348,1,0.9196808934211731,1
DB09204,P35348,1,0.8798477053642273,1
DB00610,P35348,1,0.8211174607276917,1
DB00449,P35348,1,0.7171730399131775,1
DB08722,P35348,0,0.6592326760292053,0
DB01364,P35348,1,0.6438524723052979,1
DB00852,P35348,1,0.6438068747520447,1
DB09239,P35348,1,0.1611645519733429,1
DB00943,P35348,0,0.043847981840372086,0
DB13873,P35348,0,0.0010485806269571185,0
