drug_id,protein_id,Y,predicted_score,true_interaction
DB07346,P56817,1,0.9940874576568604,1
DB07736,P56817,1,0.9808001518249512,1
DB00892,P56817,0,0.9788148999214172,0
DB07735,P56817,1,0.9684501886367798,1
DB07573,P56817,1,0.9631823301315308,1
DB07737,P56817,1,0.958755373954773,1
DB07110,P56817,1,0.8921785354614258,1
DB00408,P56817,0,0.8860382437705994,0
DB07734,P56817,1,0.875959038734436,1
DB07738,P56817,1,0.8541352152824402,1
DB07345,P56817,1,0.8487271666526794,1
DB07874,P56817,1,0.8320010900497437,1
DB03336,P56817,0,0.6019496917724609,0
DB08749,P56817,1,0.552992045879364,1
DB07519,P56817,1,0.4434758424758911,1
DB02225,P56817,0,0.4340879023075104,0
DB11221,P56817,0,0.40362003445625305,0
DB07089,P56817,1,0.30620062351226807,1
DB07415,P56817,1,0.2724159061908722,1
DB07175,P56817,1,0.21411767601966858,1
DB02378,P56817,1,0.1554490476846695,1
DB06930,P56817,1,0.14449264109134674,1
DB07019,P56817,1,0.09590285271406174,1
DB07281,P56817,1,0.06768359243869781,1
DB01600,P56817,0,0.06311346590518951,0
DB12285,P56817,1,0.04996165260672569,1
DB03987,P56817,0,0.041255414485931396,0
DB00336,P56817,0,0.03436693549156189,0
DB03469,P56817,0,0.025148820132017136,0
DB07284,P56817,1,0.010553092695772648,1
DB07993,P56817,1,0.010452181100845337,1
DB07245,P56817,1,0.008037128485739231,1
DB07303,P56817,1,0.00714719295501709,1
DB04934,P56817,0,0.005607485771179199,0
DB07206,P56817,1,0.003754648379981518,1
DB07994,P56817,1,0.0034296757075935602,1
DB07535,P56817,1,0.0017296933801844716,1
DB03739,P56817,0,0.0012521811295300722,0
