drug_id,protein_id,Y,predicted_score,true_interaction
DB03147,Q16881,1,0.9919541478157043,1
DB03147,P37062,1,0.988775372505188,1
DB03147,P16640,1,0.971611738204956,1
DB03147,P14920,1,0.9677570462226868,1
DB03147,P22570,1,0.9669981002807617,1
DB03147,Q92947,1,0.9653576016426086,1
DB03147,Q52437,1,0.9561725854873657,1
DB03147,P16219,1,0.9542706608772278,1
DB03147,Q9UKU7,1,0.9489837288856506,1
DB03147,Q9LAG2,1,0.9449260234832764,1
DB03147,Q12882,1,0.941755473613739,1
DB03147,P26440,1,0.9385824799537659,1
DB03147,Q96RQ9,1,0.9379392862319946,1
DB03147,O95831,1,0.9339585304260254,1
DB03147,P11310,1,0.9249994158744812,1
DB03147,P55789,1,0.9103296995162964,1
DB03147,P42593,1,0.905375063419342,1
DB03147,P00390,1,0.8971021771430969,1
DB03147,Q51225,1,0.8955374956130981,1
DB03147,P21890,1,0.8810063600540161,1
DB03147,P58558,1,0.875845193862915,1
DB03147,Q72JJ3,1,0.8752586245536804,1
DB03147,P61497,1,0.8577942252159119,1
DB03147,Q06319,1,0.8569608330726624,1
DB03147,Q9WYT0,1,0.8310757279396057,1
DB03147,P47989,1,0.8198295831680298,1
DB03147,P28593,1,0.76468425989151,1
DB03147,P06715,1,0.7520261406898499,1
DB03147,P15559,1,0.6664509773254395,1
DB03147,P10902,1,0.617006778717041,1
DB03147,P0A9P4,1,0.5869256258010864,1
DB03147,P0C278,1,0.5780690312385559,1
DB03147,P35340,1,0.5770522356033325,1
DB03147,P18925,1,0.5416673421859741,1
DB03147,Q15067,1,0.5396141409873962,1
DB03147,P09622,1,0.5274525284767151,1
DB03147,P83223,1,0.5231932997703552,1
DB03147,P61432,1,0.5118392109870911,1
DB03147,P14218,1,0.48607373237609863,1
DB03147,P19480,1,0.4814283549785614,1
DB03147,Q9Z4P0,1,0.4390159547328949,1
DB03147,P05327,1,0.43541455268859863,1
DB03147,Q9AGP8,1,0.3974546194076538,1
DB03147,P9WIQ1,1,0.3427712619304657,1
DB03147,P16083,1,0.31592392921447754,1
DB03147,P06149,1,0.3080071210861206,1
DB03147,P9WIQ3,1,0.28569403290748596,1
DB03147,P16435,1,0.24622315168380737,1
DB03147,Q56839,1,0.22354713082313538,1
DB03147,P09063,1,0.21412675082683563,1
DB03147,Q7SID9,1,0.20250698924064636,1
DB03147,P37063,1,0.1971554160118103,1
DB03147,Q94655,1,0.17410509288311005,1
DB03147,P24232,1,0.15280432999134064,1
DB03147,Q9RC23,1,0.1394786387681961,1
DB03147,P08373,1,0.10700387507677078,1
DB03147,P37747,1,0.09556493908166885,1
DB03147,Q9KIE5,1,0.09042555838823318,1
DB03147,P39662,1,0.08101923018693924,1
DB03147,O31616,1,0.07842139899730682,1
DB03147,P38038,1,0.07537485659122467,1
DB03147,Q888A4,1,0.06886347383260727,1
DB03147,P77967,1,0.053184881806373596,1
DB03147,P29475,1,0.05072879046201706,1
DB03147,P9WHH7,1,0.04837629199028015,1
DB03147,Q9RA47,1,0.04095716401934624,1
DB03147,P0AEZ1,1,0.039364494383335114,1
DB03147,Q9UHQ9,1,0.03732968121767044,1
DB03147,P28861,1,0.031075920909643173,1
DB03147,P00914,1,0.030145062133669853,1
DB03147,P09546,1,0.024043532088398933,1
DB03147,P07771,1,0.021433070302009583,1
DB03147,Q16795,1,0.011266684159636497,1
DB03147,Q47PU3,1,0.009997568093240261,1
DB03147,P27338,1,0.009361331351101398,1
DB03147,Q8UCK6,0,0.009253768250346184,0
DB03147,P55792,1,0.0073188794776797295,1
DB03147,P21397,1,0.0070039513520896435,1
DB03147,P40859,1,0.006527720019221306,1
DB03147,Q44532,1,0.006272957194596529,1
DB03147,P12676,1,0.004987302236258984,1
DB03147,P09788,1,0.003318407107144594,1
DB03147,P22637,1,0.0030086750630289316,1
DB03147,Q86YB8,1,0.002708753803744912,1
DB03147,P00438,1,0.001985664013773203,1
DB03147,P20586,1,0.0013959947973489761,1
DB03147,P00387,1,0.0007699871202930808,1
DB03147,P39900,0,0.00038223888259381056,0
