drug_id,protein_id,Y,predicted_score,true_interaction
DB02379,P19961,1,0.9987688660621643,1
DB02379,P04745,1,0.9987567663192749,1
DB02379,P04746,1,0.9987338185310364,1
DB02379,P01556,1,0.9979331493377686,1
DB02379,P12528,1,0.9977578520774841,1
DB02379,Q9ZEU2,1,0.9976993203163147,1
DB02379,P07986,1,0.9975960850715637,1
DB02379,P54583,1,0.9973276853561401,1
DB02379,P40943,1,0.9972687363624573,1
DB02379,Q9KG76,1,0.9972103238105774,1
DB02379,P37700,1,0.9971081614494324,1
DB02379,P26221,1,0.9967272281646729,1
DB02379,Q9RX51,1,0.9965785145759583,1
DB02379,P37698,1,0.996397852897644,1
DB02379,O85465,1,0.9963772892951965,1
DB02379,Q46079,1,0.9959326386451721,1
DB02379,Q7SI98,1,0.9959099292755127,1
DB02379,P0AEX9,1,0.9958518743515015,1
DB02379,P13507,1,0.9954336285591125,1
DB02379,P02943,1,0.9951735138893127,1
DB02379,P36924,1,0.9946163296699524,1
DB02379,Q08751,1,0.9943682551383972,1
DB02379,P06971,1,0.9942452311515808,1
DB02379,P26827,1,0.9942171573638916,1
DB02379,P29957,1,0.9941287040710449,1
DB02379,Q6UWM7,1,0.9940827488899231,1
DB02379,P0C2S5,1,0.9940577745437622,1
DB02379,P00692,1,0.9940205216407776,1
DB02379,O07653,1,0.9937840700149536,1
DB02379,P26466,1,0.9933297038078308,1
DB02379,P11217,1,0.9932428002357483,1
DB02379,Q79G13,1,0.9932082295417786,1
DB02379,P35247,1,0.9931869506835938,1
DB02379,P05618,1,0.9922731518745422,1
DB02379,P38940,1,0.9920796751976013,1
DB02379,P00691,1,0.9920482039451599,1
DB02379,Q60053,1,0.9910401701927185,1
DB02379,P30920,1,0.990809440612793,1
DB02379,P19571,1,0.9891442656517029,1
DB02379,P06737,1,0.9883202314376831,1
DB02379,O82839,1,0.9875450730323792,1
DB02379,Q8GJ44,1,0.9844916462898254,1
DB02379,P23340,1,0.9829429388046265,1
DB02379,Q9ZB17,1,0.9825023412704468,1
DB02379,Q9BW91,1,0.9815878868103027,1
DB02379,P47929,1,0.9711530208587646,1
DB02379,P05162,1,0.9669334292411804,1
DB02379,P94622,1,0.9659202694892883,1
DB02379,P01552,1,0.9120730757713318,1
DB02379,P0AEE5,1,0.9035160541534424,1
DB02379,Q60037,1,0.8999816179275513,1
DB02379,P23905,1,0.885017454624176,1
DB02379,P23219,1,0.8673080801963806,1
DB02379,P04958,1,0.8458868861198425,1
DB02379,Q54331,1,0.8209476470947266,1
DB02379,Q7Z4J2,1,0.8114036917686462,1
DB02379,P69178,1,0.7995975017547607,1
DB02379,P15587,1,0.7814869284629822,1
DB02379,P24300,1,0.767470121383667,1
DB02379,O14594,1,0.7317919135093689,1
DB02379,Q9HYN5,1,0.712777316570282,1
DB02379,P19367,1,0.7114893198013306,1
DB02379,P35557,1,0.6793855428695679,1
DB02379,P46926,1,0.6268706917762756,1
DB02379,Q47644,1,0.46385449171066284,1
DB02379,P49302,1,0.4340347945690155,1
DB02379,P10844,1,0.42369651794433594,1
DB02379,P0A6V8,1,0.42273688316345215,1
DB02379,P00490,1,0.21171775460243225,1
DB02379,P14090,1,0.2042037397623062,1
DB02379,O60264,1,0.19033971428871155,1
DB02379,Q48436,1,0.163244366645813,1
DB02379,Q7WT42,1,0.09782303869724274,1
DB02379,P02144,1,0.08857044577598572,1
DB02379,Q81VW8,0,0.08703305572271347,0
DB02379,P23904,1,0.070460245013237,1
DB02379,Q9WXN1,1,0.05458147078752518,1
DB02379,Q26609,1,0.03238426893949509,1
DB02379,P01574,1,0.01839379407465458,1
DB02379,Q9BZZ2,1,0.010758902877569199,1
DB02379,P23827,1,0.009174605831503868,1
DB02379,P16435,0,0.004571736790239811,0
DB02379,Q07982,1,0.0037440559826791286,1
DB02379,P17802,1,0.003342245938256383,1
DB02379,Q701N4,1,0.0022286728490144014,1
DB02379,Q57366,1,0.002146944170817733,1
DB02379,P0C2S2,1,0.0019365653861314058,1
DB02379,P0AC38,1,0.001693891710601747,1
DB02379,P0AEK4,1,0.0010922170476987958,1
DB02379,Q6L8H2,1,0.0007983985124155879,1
DB02379,O34974,1,0.00038908369606360793,1
DB02379,P13650,1,0.00020384344679769129,1
