drug_id,protein_id,Y,predicted_score,true_interaction
DB00334,P35367,1,0.9985195994377136,1
DB00363,P35367,1,0.9984222650527954,1
DB01624,P35367,1,0.9977032542228699,1
DB00246,P35367,1,0.9964029788970947,1
DB00321,P35367,1,0.9963724613189697,1
DB00751,P35367,1,0.996126115322113,1
DB00408,P35367,1,0.9960001111030579,1
DB00543,P35367,1,0.9959873557090759,1
DB00540,P35367,1,0.9959795475006104,1
DB01151,P35367,1,0.9959589838981628,1
DB01238,P35367,1,0.9956040382385254,1
DB01224,P35367,1,0.9952812790870667,1
DB00920,P35367,1,0.9949296712875366,1
DB00433,P35367,1,0.9946022629737854,1
DB01142,P35367,1,0.9940212368965149,1
DB14185,P35367,1,0.9937499165534973,1
DB00458,P35367,1,0.9934114813804626,1
DB01239,P35367,1,0.9931657910346985,1
DB09167,P35367,1,0.9931457042694092,1
DB05492,P35367,1,0.9925832748413086,1
DB00370,P35367,1,0.9911256432533264,1
DB00555,P35367,1,0.990929901599884,1
DB08802,P35367,1,0.9906730055809021,1
DB06153,P35367,1,0.9902689456939697,1
DB00719,P35367,1,0.9899217486381531,1
DB06148,P35367,1,0.9895457625389099,1
DB00420,P35367,1,0.9893252849578857,1
DB00477,P35367,1,0.9891834259033203,1
DB06766,P35367,1,0.9890722036361694,1
DB00934,P35367,1,0.9890243411064148,1
DB04837,P35367,1,0.9878543019294739,1
DB01403,P35367,1,0.9877825379371643,1
DB08799,P35367,1,0.9877732396125793,1
DB11235,P35367,1,0.987385630607605,1
DB00637,P35367,1,0.987004816532135,1
DB00656,P35367,1,0.9869909882545471,1
DB01069,P35367,1,0.9861709475517273,1
DB00797,P35367,1,0.9860808849334717,1
DB00455,P35367,1,0.9860137701034546,1
DB06678,P35367,1,0.9857593774795532,1
DB00434,P35367,1,0.9850168228149414,1
DB06229,P35367,1,0.9848606586456299,1
DB00967,P35367,1,0.9847612380981445,1
DB00902,P35367,1,0.9845559597015381,1
DB06698,P35367,1,0.9841672778129578,1
DB01615,P35367,1,0.9838234186172485,1
DB00245,P35367,1,0.9838014245033264,1
DB06016,P35367,1,0.9837843179702759,1
DB08801,P35367,1,0.9834932088851929,1
DB06691,P35367,1,0.9829525947570801,1
DB00726,P35367,1,0.9827622771263123,1
DB09016,P35367,1,0.9827516674995422,1
DB08922,P35367,1,0.982723593711853,1
DB11614,P35367,1,0.9794432520866394,1
DB00715,P35367,1,0.9791441559791565,1
DB05381,P35367,1,0.9785163402557373,1
DB00777,P35367,1,0.9774946570396423,1
DB01246,P35367,1,0.9774691462516785,1
DB01175,P35367,1,0.9764779806137085,1
DB00215,P35367,1,0.9764741063117981,1
DB00792,P35367,1,0.9760436415672302,1
DB01619,P35367,1,0.9750862121582031,1
DB01267,P35367,1,0.9745829701423645,1
DB00768,P35367,1,0.9729991555213928,1
DB00366,P35367,1,0.9727318286895752,1
DB04946,P35367,1,0.9721644520759583,1
DB00283,P35367,1,0.9683409333229065,1
DB01620,P35367,1,0.964522123336792,1
DB01173,P35367,1,0.9643121361732483,1
DB01071,P35367,1,0.9609568119049072,1
DB00502,P35367,1,0.9609317183494568,1
DB01075,P35367,1,0.9580970406532288,1
DB00342,P35367,1,0.9520106911659241,1
DB00405,P35367,1,0.951965868473053,1
DB00734,P35367,1,0.9440887570381165,1
DB11591,P35367,1,0.942162811756134,1
DB08800,P35367,1,0.940361738204956,1
DB00427,P35367,1,0.9351239800453186,1
DB00835,P35367,1,0.9336549639701843,1
DB00767,P35367,1,0.9331042170524597,1
DB09488,P35367,1,0.9312479496002197,1
DB00568,P35367,1,0.9300591349601746,1
DB01237,P35367,1,0.9244337677955627,1
DB00972,P35367,1,0.9240712523460388,1
DB00950,P35367,1,0.9193798303604126,1
DB01114,P35367,1,0.909569263458252,1
DB00748,P35367,1,0.9068601727485657,1
DB04905,P35367,1,0.9012676477432251,1
DB00354,P35367,1,0.897771954536438,1
DB09195,P35367,1,0.8954770565032959,1
DB04841,P35367,1,0.885628342628479,1
DB01176,P35367,1,0.8529461622238159,1
DB01146,P35367,1,0.812127411365509,1
DB01084,P35367,1,0.811057984828949,1
DB00737,P35367,1,0.7810434103012085,1
DB01106,P35367,1,0.7593544125556946,1
DB00557,P35367,1,0.7178640961647034,1
DB08936,P35367,1,0.6924511194229126,1
DB04890,P35367,1,0.5473277568817139,1
DB00341,P35367,1,0.5389002561569214,1
DB06282,P35367,1,0.5356180667877197,1
