drug_id,protein_id,Y,predicted_score,true_interaction
DB01238,P34969,1,0.999440610408783,1
DB09304,P34969,1,0.9991592168807983,1
DB13345,P34969,1,0.9991462230682373,1
DB12141,P34969,1,0.9989330172538757,1
DB00458,P34969,1,0.9988656044006348,1
DB00321,P34969,1,0.9985842704772949,1
DB00502,P34969,1,0.9985285997390747,1
DB00988,P34969,1,0.9984149932861328,1
DB00715,P34969,1,0.9983287453651428,1
DB06148,P34969,1,0.9982616305351257,1
DB04946,P34969,1,0.9982183575630188,1
DB08815,P34969,1,0.9981634020805359,1
DB09225,P34969,1,0.9979740977287292,1
DB01224,P34969,1,0.9978277087211609,1
DB00934,P34969,1,0.9977847933769226,1
DB00247,P34969,1,0.9974162578582764,1
DB13025,P34969,1,0.9972434043884277,1
DB11273,P34969,1,0.9967178702354431,1
DB00477,P34969,1,0.9964827299118042,1
DB00363,P34969,1,0.9963332414627075,1
DB00589,P34969,1,0.9963012933731079,1
DB00216,P34969,1,0.9962745904922485,1
DB00408,P34969,1,0.996033251285553,1
DB01267,P34969,1,0.995972216129303,1
DB00248,P34969,1,0.9956175088882446,1
DB13988,P34969,1,0.9956120252609253,1
DB14185,P34969,1,0.9955658316612244,1
DB00434,P34969,1,0.9951090216636658,1
DB00246,P34969,1,0.9949483871459961,1
DB01200,P34969,1,0.9949312806129456,1
DB00543,P34969,1,0.9942455887794495,1
DB00924,P34969,1,0.9921916127204895,1
DB00734,P34969,1,0.9921240210533142,1
DB00992,P34969,0,0.9839608669281006,0
DB04948,P34969,1,0.9725331664085388,1
DB06288,P34969,1,0.939064085483551,1
DB07726,P34969,0,0.9348077774047852,0
DB09068,P34969,1,0.904260516166687,1
DB00751,P34969,1,0.8974989652633667,1
DB06972,P34969,0,0.5545058846473694,0
DB07958,P34969,0,0.1923820525407791,0
DB07147,P34969,0,0.00933844968676567,0
DB00119,P34969,0,0.006843408104032278,0
DB02192,P34969,0,0.002154337475076318,0
DB02456,P34969,0,0.001500675454735756,0
DB07843,P34969,0,0.0002636939752846956,0
DB07952,P34969,0,0.00023443692771252245,0
DB00355,P34969,0,0.00014121959975454956,0
